CLASSIFIER,PREPROCESSING,"TEST ERROR RATE",Reference
"Virtual SVM, deg-9 poly, 1-pixel jittered",none,0.68,"DeCoste and Scholkopf, MLJ 2002"
"Virtual SVM, deg-9 poly, 1-pixel jittered",deskewing,0.68,"DeCoste and Scholkopf, MLJ 2002"
"Virtual SVM, deg-9 poly, 2-pixel jittered",deskewing,0.56,"DeCoste and Scholkopf, MLJ 2002"
"Neural Nets",,,
"2-layer NN, 300 hidden units, mean square error",none,4.7,"LeCun et al. 1998"
"2-layer NN, 300 HU, MSE, [distortions]",none,3.6,"LeCun et al. 1998"
"2-layer NN, 300 HU",deskewing,1.6,"LeCun et al. 1998"
"2-layer NN, 1000 hidden units",none,4.5,"LeCun et al. 1998"
"2-layer NN, 1000 HU, [distortions]",none,3.8,"LeCun et al. 1998"
"3-layer NN, 300+100 hidden units",none,3.05,"LeCun et al. 1998"
"3-layer NN, 300+100 HU [distortions]",none,2.5,"LeCun et al. 1998"
"3-layer NN, 500+150 hidden units",none,2.95,"LeCun et al. 1998"
"3-layer NN, 500+150 HU [distortions]",none,2.45,"LeCun et al. 1998"
"3-layer NN, 500+300 HU, softmax, cross entropy, weight decay",none,1.53,"Hinton, unpublished, 2005"
"2-layer NN, 800 HU, Cross-Entropy Loss",none,1.6,"Simard et al., ICDAR 2003"
"2-layer NN, 800 HU, cross-entropy [affine distortions]",none,1.1,"Simard et al., ICDAR 2003"
"2-layer NN, 800 HU, MSE [elastic distortions]",none,0.9,"Simard et al., ICDAR 2003"
"2-layer NN, 800 HU, cross-entropy [elastic distortions]",none,0.7,"Simard et al., ICDAR 2003"
"NN, 784-500-500-2000-30 + nearest neighbor, RBM + NCA training [no distortions]",none,1,"Salakhutdinov and Hinton, AI-Stats 2007"
"6-layer NN 784-2500-2000-1500-1000-500-10 (on GPU) [elastic distortions]",none,0.35,"Ciresan et al. Neural Computation 10, 2010 and arXiv 1003.0358, 2010"
"committee of 25 NN 784-800-10 [elastic distortions]","width normalization, deslanting",0.39,"Meier et al. ICDAR 2011"
"deep convex net, unsup pre-training [no distortions]",none,0.83,"Deng et al. Interspeech 2010"
"Convolutional nets",,,
"Convolutional net LeNet-1","subsampling to 16x16 pixels",1.7,"LeCun et al. 1998"
"Convolutional net LeNet-4",none,1.1,"LeCun et al. 1998"
"Convolutional net LeNet-4 with K-NN instead of last layer",none,1.1,"LeCun et al. 1998"
"Convolutional net LeNet-4 with local learning instead of last layer",none,1.1,"LeCun et al. 1998"
"Convolutional net LeNet-5, [no distortions]",none,0.95,"LeCun et al. 1998"
"Convolutional net LeNet-5, [huge distortions]",none,0.85,"LeCun et al. 1998"
"Convolutional net LeNet-5, [distortions]",none,0.8,"LeCun et al. 1998"
"Convolutional net Boosted LeNet-4, [distortions]",none,0.7,"LeCun et al. 1998"
"Trainable feature extractor + SVMs [no distortions]",none,0.83,"Lauer et al., Pattern Recognition 40-6, 2007"
"Trainable feature extractor + SVMs [elastic distortions]",none,0.56,"Lauer et al., Pattern Recognition 40-6, 2007"
"Trainable feature extractor + SVMs [affine distortions]",none,0.54,"Lauer et al., Pattern Recognition 40-6, 2007"
"unsupervised sparse features + SVM, [no distortions]",none,0.59,"Labusch et al., IEEE TNN 2008"
"Convolutional net, cross-entropy [affine distortions]",none,0.6,"Simard et al., ICDAR 2003"
"Convolutional net, cross-entropy [elastic distortions]",none,0.4,"Simard et al., ICDAR 2003"
"large conv. net, random features [no distortions]",none,0.89,"Ranzato et al., CVPR 2007"
"large conv. net, unsup features [no distortions]",none,0.62,"Ranzato et al., CVPR 2007"
"large conv. net, unsup pretraining [no distortions]",none,0.6,"Ranzato et al., NIPS 2006"
"large conv. net, unsup pretraining [elastic distortions]",none,0.39,"Ranzato et al., NIPS 2006"
"large conv. net, unsup pretraining [no distortions]",none,0.53,"Jarrett et al., ICCV 2009"
"large/deep conv. net, 1-20-40-60-80-100-120-120-10 [elastic distortions]",none,0.35,"Ciresan et al. IJCAI 2011"
"committee of 7 conv. net, 1-20-P-40-P-150-10 [elastic distortions]","width normalization",0.27,"Ciresan et al. ICDAR 2011"
"committee of 35 conv. net, 1-20-P-40-P-150-10 [elastic distortions]","width normalization",0.23,"Ciresan et al. CVPR 2012"
