RANK,METHOD,"TOP 1 ACCURACY","TOP 5 ACCURACY","NUMBER OF PARAMS","EXTRA TRAINING DATA","PAPER TITLE",YEAR,PAPER,CODE
51,AA-ResNet-152,0.7909999999999999,0.946,,,"Attention Augmented Convolutional Networks",2019,,
52,FixResNet-50,0.7909999999999999,0.946,25.6M,,"Fixing the train-test resolution discrepancy",2019,,
53,Xception,0.79,0.945,22.8M,,"Xception: Deep Learning with Depthwise Separable Convolutions",2016,,
54,"ResNet-152 + SWA",78.94,,,,"Averaging Weights Leads to Wider Optima and Better Generalization",2018,,
55,"ECA-Net (ResNet-152)",0.7892,0.9455,57.40M,,"ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks",2019,,
56,MixNet-L,0.789,0.9420000000000001,7.3M,,"MixConv: Mixed Depthwise Convolutional Kernels",2019,,
57,"Inception V3",0.7879999999999999,0.9440000000000001,23.8M,,"Rethinking the Inception Architecture for Computer Vision",2015,,
58,EfficientNet-B1,0.7879999999999999,0.9440000000000001,7.8M,,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks",2019,,
59,SGE-ResNet101,0.78798,0.94368,,,"Spatial Group-wise Enhance: Improving Semantic Feature Learning in Convolutional Networks",2019,,
60,"ECA-Net (ResNet-101)",0.7865000000000001,0.9434,42.49M,,"ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks",2019,,
61,ResNet-152,0.7857,0.9429000000000001,,,"Deep Residual Learning for Image Recognition",2015,,
62,DenseNet-201,0.7854000000000001,0.9445999999999999,20M,,"Densely Connected Convolutional Networks",2016,,
63,"DPN-68 (320x320, Mean-Max Pooling)",0.7848999999999999,0.9448000000000001,,,"Dual Path Networks",2017,,
64,SRM-ResNet-101,0.7847,,,,"SRM : A Style-based Recalibration Module for Convolutional Neural Networks",2019,,
65,"DenseNet-161 + SWA",78.44,,,,"Averaging Weights Leads to Wider Optima and Better Generalization",2018,,
66,"ResNet-50 (CutMix)",0.784,,,,"CutMix: Regularization Strategy to Train Strong Classifiers with Localizable Features",2019,,
67,ResNet-101,0.7825,0.9395,40M,,"Deep Residual Learning for Image Recognition",2015,,
68,"MultiGrain R50-AA-224",0.782,0.9390000000000001,,,"MultiGrain: a unified image embedding for classes and instances",2019,,
69,WRN-50-2-bottleneck,0.7809999999999999,0.9397,68.9M,,"Wide Residual Networks",2016,,
70,DenseNet-169,0.7792,0.9408,,,"Densely Connected Convolutional Networks",2016,,
71,"DPN-68 (320x320)",0.7785,0.941,,,"Dual Path Networks",2017,,
72,"ECA-Net (ResNet-50)",0.7748,0.9368000000000001,24.37M,,"ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks",2019,,
73,ResNet-50-D,0.7716,0.9351999999999999,25M,,"Bag of Tricks for Image Classification with Convolutional Neural Networks",2018,,
74,ResNet-50,0.7715000000000001,0.9329000000000001,,,"Deep Residual Learning for Image Recognition",2015,,
75,MixNet-M,0.77,0.9329999999999999,5.0M,,"MixConv: Mixed Depthwise Convolutional Kernels",2019,,
76,SCARLET-A,0.769,0.934,6.7M,,"ScarletNAS: Bridging the Gap Between Scalability and Fairness in Neural Architecture Search",2019,,
77,MnasNet-A3,0.767,0.9329999999999999,5.2M,,"MnasNet: Platform-Aware Neural Architecture Search for Mobile",2018,,
78,"DPN-68 (224x224)",0.7643000000000001,0.9307,,,"Dual Path Networks",2017,,
79,DenseNet-121,0.7639,0.9334,,,"Densely Connected Convolutional Networks",2016,,
80,EfficientNet-B0,0.763,0.932,5.3M,,"EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks",2019,,
81,SCARLET-B,0.763,0.93,6.5M,,"ScarletNAS: Bridging the Gap Between Scalability and Fairness in Neural Architecture Search",2019,,
82,MoGA-A,0.759,0.9279999999999999,5.1M,,"MoGA: Searching Beyond MobileNetV3",2019,,
83,DenseNAS-A,0.759,0.9259999999999999,,,"Densely Connected Search Space for More Flexible Neural Architecture Search",2019,,
84,FractalNet-34,0.7587999999999999,0.9261,,,"FractalNet: Ultra-Deep Neural Networks without Residuals",2016,,
85,MixNet-S,0.758,0.9279999999999999,4.1M,,"MixConv: Mixed Depthwise Convolutional Kernels",2019,,
86,"CoordConv ResNet-50",0.7574,0.9275,,,"An Intriguing Failing of Convolutional Neural Networks and the CoordConv Solution",2018,,
87,PReLU-Net,0.7573000000000001,0.9262,,,"Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification",2015,,
88,LR-Net-26,0.757,0.9259999999999999,,,"Local Relation Networks for Image Recognition",2019,,
89,MnasNet-A2,0.7559999999999999,0.927,4.8M,,"MnasNet: Platform-Aware Neural Architecture Search for Mobile",2018,,
90,SCARLET-C,0.7559999999999999,0.9259999999999999,6.0M,,"ScarletNAS: Bridging the Gap Between Scalability and Fairness in Neural Architecture Search",2019,,
91,"ShuffleNet V2",0.754,,,,"ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design",2018,,
92,MnasNet-A1,0.752,0.925,3.9M,,"MnasNet: Platform-Aware Neural Architecture Search for Mobile",2018,,
93,"MobileNet V3-Large 1.0",0.752,,5.4M,,"Searching for MobileNetV3",2019,,
94,"MultiGrain NASNet-A-Mobile (350px)",0.7509999999999999,0.925,,,"MultiGrain: a unified image embedding for classes and instances",2019,,
95,DiCENet,0.7509999999999999,,,,"DiCENet: Dimension-wise Convolutions for Efficient Networks",2019,,
96,"Single-Path NAS",0.7495999999999999,0.9220999999999999,,,"Single-Path NAS: Designing Hardware-Efficient ConvNets in less than 4 Hours",2019,,
97,ESPNetv2,0.7490000000000001,,,,"ESPNetv2: A Light-weight, Power Efficient, and General Purpose Convolutional Neural Network",2018,,
98,FBNet-C,0.7490000000000001,,5.5M,,"FBNet: Hardware-Aware Efficient ConvNet Design via Differentiable Neural Architecture Search",2018,,
99,"Inception V2",0.748,0.922,11.2M,,"Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift",2015,,
100,"MobileNetV2 (1.4)",0.747,,,,"MobileNetV2: Inverted Residuals and Linear Bottlenecks",2018,,
101,VGG-19,0.745,0.92,144M,,"Very Deep Convolutional Networks for Large-Scale Image Recognition",2014,,
102,VGG-16,0.7440000000000001,0.919,138M,,"Very Deep Convolutional Networks for Large-Scale Image Recognition",2014,,
103,"MobileNet-224 (CGD)",0.7256,0.9092,,,"Compact Global Descriptor for Neural Networks",2019,,
104,"ECA-Net (MobileNetV2)",0.7256,0.9081,3.34M,,"ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks",2019,,
105,SPPNet,0.7214,0.9186,,,"Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition",2014,,
106,MSRA,0.7132,0.8905,,,"Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition",2014,,
107,ShuffleNet,0.7090000000000001,0.898,,,"ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices",2017,,
108,MobileNet-224,0.706,0.895,,,"MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications",2017,,
109,"Inception V1",0.698,0.899,5M,,"Going Deeper with Convolutions",2014,,
110,"Five Base + Five HiRes",0.6629999999999999,0.863,,,"Some Improvements on Deep Convolutional Neural Network Based Image Classification",2013,,
111,"OverFeat - 7 accurate models",0.6604000000000001,0.8676,,,"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks",2013,,
112,ZFNet,0.64,0.853,,,"Visualizing and Understanding Convolutional Networks",2013,,
113,"AlexNet - 7CNNs",0.633,0.846,60M,,"ImageNet Classification with Deep Convolutional Neural Networks",2012,,
